id,file,key_or_location,locale,surfaces_and_states,original,final,coverage_status,slop_finding,pattern_and_reason,repair,no_slop_verdict,exception_reason,verification_evidence
"header-eyebrow:en","src/content/landing.json","header.eyebrow","en","header section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"header-eyebrow:ar","src/content/landing.json","header.eyebrow","ar","header section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"header-headline:en","src/content/landing.json","header.heading","en","header section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"header-headline:ar","src/content/landing.json","header.heading","ar","header section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"header-introduction:en","src/content/landing.json","header.body","en","header section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"header-introduction:ar","src/content/landing.json","header.body","ar","header section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"header-premise:en","src/content/landing.json","header.premise","en","header section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"header-premise:ar","src/content/landing.json","header.premise","ar","header section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"top-eyebrow:en","src/content/landing.json","top.eyebrow","en","top section","Jizrak — connected commerce in one system","Jizrak. Connected commerce in one system.","reviewed","found","Formatting slop: decorative em dash in short copy.","Use two direct sentences.","pass","","Source audit; rendered locale and state checks."
"top-eyebrow:ar","src/content/landing.json","top.eyebrow","ar","top section","جِذرك — تجارة مترابطة في نظام واحد","جِذرك. تجارة مترابطة في نظام واحد.","reviewed","found","Presentation: decorative dash in short copy.","Use two direct sentences.","pass","","Source audit; rendered locale and state checks."
"top-headline:en","src/content/landing.json","top.heading","en","top section","One commerce foundation for every Store you build.","One commerce foundation for every Store.","reviewed","found","Unnecessary second-person phrasing.","Name the scope directly.","pass","","Source audit; rendered locale and state checks."
"top-headline:ar","src/content/landing.json","top.heading","ar","top section","أساس تجاري واحد لكل متجر تنشئه.","أساس تجاري واحد لكل متجر.","reviewed","found","Literal second-person phrasing.","State the scope directly.","pass","","Source audit; rendered locale and state checks."
"top-body:en","src/content/landing.json","top.body","en","top section","Run your storefront, point of sale, products, inventory, purchasing, orders, customers, and finances in one system. Every Store keeps its own brand, team, and stock ledger.","Run your storefront, point of sale, products, inventory, purchasing, orders, customers, and finances in one system. Every Store keeps its own brand, team, and stock ledger.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"top-body:ar","src/content/landing.json","top.body","ar","top section","يجمع نظام واحد واجهة المتجر ونقطة البيع والمنتجات والمخزون والمشتريات والطلبات والعملاء والمالية. ويحتفظ كل متجر بعلامته وفريقه ودفتر مخزونه المستقل.","يجمع نظام واحد واجهة المتجر ونقطة البيع والمنتجات والمخزون والمشتريات والطلبات والعملاء والمالية. ويحتفظ كل متجر بعلامته وفريقه ودفتر مخزونه المستقل.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"top-premise:en","src/content/landing.json","top.premise","en","top section","Your idea stays yours. Jizrak connects the work behind it.","Your idea is yours. Jizrak connects the work that supports it.","reviewed","found","Vague metaphor: “work behind it.”","Use “work that supports it.”","pass","","Source audit; rendered locale and state checks."
"top-premise:ar","src/content/landing.json","top.premise","ar","top section","تبقى فكرتك ملكاً لك. وتربط جِذرك العمليات التي تدعمها.","فكرتك لك. ويربط جِذرك العمليات التي تدعمها.","reviewed","found","Translationese and an unnatural verb order.","Use a direct nominal opening and natural verb order.","pass","","Source audit; rendered locale and state checks."
"connected-eyebrow:en","src/content/landing.json","connected.eyebrow","en","connected section","One connected foundation","One connected foundation","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-eyebrow:ar","src/content/landing.json","connected.eyebrow","ar","connected section","أساس تشغيلي واحد","أساس تشغيلي واحد","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-heading:en","src/content/landing.json","connected.heading","en","connected section","Keep every Store connected as you grow.","Keep every Store connected as your Business grows.","reviewed","found","The subject is ambiguous.","Name the Business as the thing that grows.","pass","","Source audit; rendered locale and state checks."
"connected-heading:ar","src/content/landing.json","connected.heading","ar","connected section","ترابط تشغيلي يدعم نمو أعمالك.","أبقِ متاجرك مترابطة مع توسّع نشاطك التجاري.","reviewed","found","Abstract promise without an action or clear subject.","Address the reader and name the Business.","pass","","Source audit; rendered locale and state checks."
"connected-body:en","src/content/landing.json","connected.body","en","connected section","Catalog, orders, fulfilment, purchasing, suppliers, finance, and Store ledgers run on one Business foundation. Each Store stays separate.","Catalog, orders, fulfilment, purchasing, suppliers, finance, and Store ledgers share one Business foundation. Each Store stays separate.","reviewed","found","The list cannot literally “run.”","Describe the shared foundation.","pass","","Source audit; rendered locale and state checks."
"connected-body:ar","src/content/landing.json","connected.body","ar","connected section","تعمل الكتالوجات والطلبات والتجهيز والمشتريات والموردون والمالية ودفاتر المتاجر على أساس تجاري واحد، مع بقاء كل متجر مستقلاً.","يجمع أساس تجاري واحد الكتالوج والطلبات وتنفيذ الطلبات والمشتريات والموردين والمالية ودفاتر المتاجر، مع بقاء كل متجر مستقلاً.","reviewed","found","Translationese and inconsistent term for fulfilment.","Use a direct verb and “تنفيذ الطلبات.”","pass","","Source audit; rendered locale and state checks."
"connected-premise:en","src/content/landing.json","connected.premise","en","connected section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"connected-premise:ar","src/content/landing.json","connected.premise","ar","connected section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"connected-detail-1:en","src/content/landing.json","connected.details.connected-detail-1","en","connected detail disclosure or source inventory","Publish a product once its variants and stock links are ready.","Publish a product once its variants and stock links are ready.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-1:ar","src/content/landing.json","connected.details.connected-detail-1","ar","connected detail disclosure or source inventory","انشر المنتج بعد تجهيز خياراته وربطه بالمخزون.","انشر المنتج بعد تجهيز خياراته وربطه بالمخزون.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-2:en","src/content/landing.json","connected.details.connected-detail-2","en","connected detail disclosure or source inventory","Sell it through the Storefront or POS against the correct Store ledger.","Sell it through the Storefront or POS against the correct Store ledger.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-2:ar","src/content/landing.json","connected.details.connected-detail-2","ar","connected detail disclosure or source inventory","نفّذ البيع من واجهة المتجر أو نقطة البيع باستخدام دفتر مخزون المتجر الصحيح.","نفّذ البيع من واجهة المتجر أو نقطة البيع باستخدام دفتر مخزون المتجر الصحيح.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-3:en","src/content/landing.json","connected.details.connected-detail-3","en","connected detail disclosure or source inventory","Reserve and move stock through controlled inventory flows.","Reserve and move stock through controlled inventory flows.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-3:ar","src/content/landing.json","connected.details.connected-detail-3","ar","connected detail disclosure or source inventory","احجز المخزون وحرّكه من خلال عمليات مخزون منضبطة.","احجز المخزون وحرّكه من خلال عمليات مخزون منضبطة.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-4:en","src/content/landing.json","connected.details.connected-detail-4","en","connected detail disclosure or source inventory","Replenish through suppliers, purchase orders, receiving, or assembly.","Replenish through suppliers, purchase orders, receiving, or assembly.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-4:ar","src/content/landing.json","connected.details.connected-detail-4","ar","connected detail disclosure or source inventory","أعد تزويد المخزون عبر الموردين وأوامر الشراء والاستلام أو التجميع.","أعد تزويد المخزون عبر الموردين وأوامر الشراء والاستلام أو التجميع.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-5:en","src/content/landing.json","connected.details.connected-detail-5","en","connected detail disclosure or source inventory","Follow orders, refunds, costs, and performance without rebuilding the story in spreadsheets.","Follow orders, refunds, costs, and performance without rebuilding the story in spreadsheets.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"connected-detail-5:ar","src/content/landing.json","connected.details.connected-detail-5","ar","connected detail disclosure or source inventory","تابع الطلبات والاستردادات والتكاليف والأداء دون إعادة تجميع البيانات في ملفات منفصلة.","تابع الطلبات والاستردادات والتكاليف والأداء دون إعادة تجميع البيانات في ملفات منفصلة.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-eyebrow:en","src/content/landing.json","business.eyebrow","en","business section","One Business, independent Stores","One Business, independent Stores","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-eyebrow:ar","src/content/landing.json","business.eyebrow","ar","business section","نشاط تجاري واحد، متاجر مستقلة","نشاط تجاري واحد، متاجر مستقلة","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-heading:en","src/content/landing.json","business.heading","en","business section","Run multiple brands without mixing their operations.","Run multiple brands without mixing their operations.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-heading:ar","src/content/landing.json","business.heading","ar","business section","إدارة علامات متعددة مع استقلال عمليات كل متجر.","شغّل علامات متعددة مع استقلال عمليات كل متجر.","reviewed","found","Fragmented noun phrase rather than an action-oriented heading.","Use a direct business action.","pass","","Source audit; rendered locale and state checks."
"business-body:en","src/content/landing.json","business.body","en","business section","A Business can own multiple Stores and shared physical Locations. Each Store keeps its own branding, catalog, customers, orders, finances, permissions, and inventory ledger. Business Owners retain oversight while operators enter only the Stores they are allowed to run.","A Business can own multiple Stores and shared physical Locations. Each Store keeps its own branding, catalog, customers, orders, finances, permissions, and inventory ledger. Business Owners retain oversight while operators enter only the Stores they are allowed to run.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-body:ar","src/content/landing.json","business.body","ar","business section","يمكن للنشاط التجاري امتلاك عدة متاجر واستخدام مواقع فعلية مشتركة. يحتفظ كل متجر بعلامته وكتالوجه وعملائه وطلباته وماليته وصلاحياته ودفتر مخزونه. يظل لمالك النشاط إشراف كامل، بينما يدخل كل مشغّل إلى المتاجر المصرح له بإدارتها فقط.","يمكن للنشاط التجاري امتلاك عدة متاجر واستخدام مواقع فعلية مشتركة. يحتفظ كل متجر بعلامته وكتالوجه وعملائه وطلباته وماليته وصلاحياته ودفتر مخزونه. يظل لمالك النشاط إشراف كامل، بينما يدخل كل مشغّل إلى المتاجر المصرح له بإدارتها فقط.","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-premise:en","src/content/landing.json","business.premise","en","business section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"business-premise:ar","src/content/landing.json","business.premise","ar","business section","","","empty-unused","not assessed","","","not assessed","Structural placeholder; the corresponding component renders no content for this field.","Source audit; rendered locale and state checks."
"business-detail-1:en","src/content/landing.json","business.details.business-detail-1","en","business detail disclosure or source inventory","Store-specific branding and commerce data","Store-specific branding and commerce data","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-1:ar","src/content/landing.json","business.details.business-detail-1","ar","business detail disclosure or source inventory","علامة وبيانات تجارية مستقلة لكل متجر","علامة وبيانات تجارية مستقلة لكل متجر","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-2:en","src/content/landing.json","business.details.business-detail-2","en","business detail disclosure or source inventory","Business-owned Locations serving one or more Stores","Business-owned Locations serving one or more Stores","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-2:ar","src/content/landing.json","business.details.business-detail-2","ar","business detail disclosure or source inventory","مواقع يملكها النشاط وتخدم متجراً أو أكثر","مواقع يملكها النشاط وتخدم متجراً أو أكثر","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-3:en","src/content/landing.json","business.details.business-detail-3","en","business detail disclosure or source inventory","Separate Store stock ledgers at a shared Location","Separate Store stock ledgers at a shared Location","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-3:ar","src/content/landing.json","business.details.business-detail-3","ar","business detail disclosure or source inventory","دفتر مخزون منفصل لكل متجر داخل الموقع المشترك","دفتر مخزون منفصل لكل متجر داخل الموقع المشترك","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-4:en","src/content/landing.json","business.details.business-detail-4","en","business detail disclosure or source inventory","Owner access across the Business","Owner access across the Business","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-4:ar","src/content/landing.json","business.details.business-detail-4","ar","business detail disclosure or source inventory","وصول المالك إلى كل متاجر النشاط","وصول المالك إلى كل متاجر النشاط","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-5:en","src/content/landing.json","business.details.business-detail-5","en","business detail disclosure or source inventory","Store-specific staff roles and permissions","Store-specific staff roles and permissions","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-5:ar","src/content/landing.json","business.details.business-detail-5","ar","business detail disclosure or source inventory","أدوار وصلاحيات موظفين خاصة بكل متجر","أدوار وصلاحيات موظفين خاصة بكل متجر","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-6:en","src/content/landing.json","business.details.business-detail-6","en","business detail disclosure or source inventory","Safe Store switching that starts at the selected Store dashboard","Safe Store switching that starts at the selected Store dashboard","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"business-detail-6:ar","src/content/landing.json","business.details.business-detail-6","ar","business detail disclosure or source inventory","تبديل آمن يفتح لوحة المتجر المختار","تبديل آمن يفتح لوحة المتجر المختار","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
"sell-eyebrow:en","src/content/landing.json","sell.eyebrow","en","sell section","Sell online","Sell online","reviewed","none found","","","pass","","Source audit; rendered locale and state checks."
